year,month,mps_gc_1y,mps_gc_3m,mps_gc_jk,mps_gc_info,mps_all_1y,mps_all_tgt,n_gc,n_speech
2023,12,4.737500,0.840000,4.737500,0.000000,3.815250,0.956016,1,7
2024,1,-8.320000,-1.313333,-8.320000,0.000000,-8.374166,0.449367,1,8
2024,2,0.000000,0.000000,0.000000,0.000000,0.467333,0.644411,0,12
2024,3,-1.600000,0.815000,-1.600000,0.000000,0.406250,0.888036,1,10
2024,4,0.007500,0.388333,0.000000,0.007500,-1.161666,0.072206,1,8
2024,5,0.000000,0.000000,0.000000,0.000000,-2.089166,-0.332083,0,8
2024,6,3.076250,0.490000,3.076250,0.000000,1.329500,1.496685,1,12
2024,7,-1.737500,0.067500,-1.737500,0.000000,-1.533583,0.925804,1,5
2024,8,0.000000,0.000000,0.000000,0.000000,-0.205000,0.018750,0,1
2024,9,1.457000,1.555000,1.457000,0.000000,0.611083,-0.609241,1,10
2024,10,-4.579000,-1.909000,-4.579000,0.000000,-2.224417,-3.022701,1,11
2024,11,0.000000,0.000000,0.000000,0.000000,-23.588584,-11.723370,0,18
2024,12,2.550000,1.936000,0.000000,2.550000,3.612500,1.633663,1,4
2025,1,-2.938750,-0.743750,-2.938750,0.000000,-2.416250,0.062777,1,6
2025,2,0.000000,0.000000,0.000000,0.000000,1.387917,-1.390791,0,7
2025,3,3.706667,1.158750,0.000000,3.706667,5.414167,0.407564,1,8
2025,4,-9.339000,-2.842500,-9.339000,0.000000,-5.272833,-1.465877,1,15
2025,5,0.000000,0.000000,0.000000,0.000000,-0.910000,-0.860997,0,8
2025,6,4.650000,1.225000,4.650000,0.000000,1.487750,-1.353779,1,19
2025,7,3.506250,1.367500,3.506250,0.000000,3.178833,-0.084559,1,5
2025,8,0.000000,0.000000,0.000000,0.000000,-0.125000,-0.056250,0,1
2025,9,0.360000,-0.075000,0.360000,0.000000,0.843906,3.383399,1,13
2025,10,-0.432500,0.047000,-0.432500,0.000000,-0.831024,2.679318,1,15
2025,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2025,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
