equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
hicp,hicp,0,44,0.382201,3.55416,3.67816,0.72211,0.408957,0.397012,0.56634,0.54979
hicp,stoxx,0,44,0.382201,1.42510,1.72793,0.0379318,0.0359656,0.0347852,0.94816,0.91704
stoxx,mps,1,44,0.382201,1.00000,1.00000,51.2456,45.7431,42.4299,0.89262,0.82797
stoxx,i1y,0,44,0.382201,1.75409,1.60406,31.0064,30.6322,30.7458,0.98793,0.99160
stoxx,ip,0,44,0.382201,1.19922,1.56184,3.05483,3.03462,2.96847,0.99339,0.97173
stoxx,hicp,0,44,0.382201,0.37822,0.09635,10.5052,10.911,11.1849,1.03863,1.06470
stoxx,stoxx,0,44,0.382201,1.62473,1.62692,0.557921,0.537436,0.53445,0.96328,0.95793
mps,mps,1,45,0.366187,1.00000,1.00000,0.170301,0.183457,0.188654,1.07725,1.10777
mps,i1y,0,45,0.366187,0.33671,0.02491,0.317767,0.318311,0.318472,1.00171,1.00222
mps,ip,0,45,0.366187,0.32602,0.04155,0.0173174,0.0175262,0.0175891,1.01206,1.01569
mps,hicp,0,45,0.366187,0.22078,0.02673,0.0559656,0.0587654,0.0591373,1.05003,1.05667
mps,stoxx,0,45,0.366187,0.43418,0.05339,0.00323915,0.00328921,0.00331433,1.01546,1.02321
i1y,mps,1,45,0.366187,1.00000,1.00000,3.49491,2.75854,3.27258,0.78930,0.93638
i1y,i1y,0,45,0.366187,1.63915,2.10049,2.03915,2.00238,1.99049,0.98197,0.97614
i1y,ip,0,45,0.366187,2.40842,2.55168,0.174065,0.153031,0.151175,0.87916,0.86850
i1y,hicp,0,45,0.366187,0.81044,0.67198,0.574274,0.554868,0.572199,0.96621,0.99639
i1y,stoxx,0,45,0.366187,1.62829,1.57934,0.0326525,0.0308512,0.0311231,0.94483,0.95316
ip,mps,1,45,0.366187,1.00000,1.00000,24.5286,16.7932,17.2155,0.68464,0.70186
ip,i1y,0,45,0.366187,0.75044,0.82208,7.80865,7.79525,7.7937,0.99828,0.99809
ip,ip,0,45,0.366187,2.20777,2.15720,1.15363,1.04486,1.04325,0.90572,0.90432
ip,hicp,0,45,0.366187,0.84565,0.78962,5.02838,4.95299,4.99332,0.98501,0.99303
ip,stoxx,0,45,0.366187,1.17581,1.11229,0.206487,0.201486,0.201871,0.97578,0.97765
hicp,mps,1,45,0.366187,1.00000,1.00000,3.20055,1.32968,1.09673,0.41545,0.34267
hicp,i1y,0,45,0.366187,3.50503,4.24195,1.90256,1.78696,1.75382,0.93924,0.92182
hicp,ip,0,45,0.366187,4.54417,5.24545,0.289833,0.187998,0.170508,0.64864,0.58830
hicp,hicp,0,45,0.366187,3.72993,3.86434,0.856201,0.459171,0.436387,0.53629,0.50968
hicp,stoxx,0,45,0.366187,2.00837,2.13666,0.0448256,0.040563,0.0397834,0.90491,0.88751
stoxx,mps,1,45,0.366187,1.00000,1.00000,48.8229,44.1965,40.7013,0.90524,0.83365
stoxx,i1y,0,45,0.366187,1.88526,1.61996,31.0316,30.5176,30.6671,0.98344,0.98825
stoxx,ip,0,45,0.366187,1.14136,1.49760,2.66261,2.68599,2.61071,1.00878,0.98051
stoxx,hicp,0,45,0.366187,0.21318,0.09913,12.5133,13.0106,13.1281,1.03974,1.04913
