dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
sparse,block,3,1,6,1.510150579,1.186626148,0.5901171429,0.3635301651,0.759160731,1.186626148,1.831065836,3.62976477
sparse,block,3,1,7,1.40662349,1.090371631,0.5349714286,0.3038902989,0.6746457174,1.090371631,1.718036755,3.478836673
sparse,block,3,1,8,1.319123811,1.002987104,0.49174,0.2448919196,0.5961967132,1.002987104,1.625924593,3.350812143
sparse,block,3,1,9,1.212576765,0.9098211832,0.4430628571,0.1978374108,0.5208508089,0.9098211832,1.506539451,3.140412627
sparse,block,3,1,10,1.176013382,0.8666675947,0.4196285714,0.1675487428,0.4807890922,0.8666675947,1.462754892,3.111116798
sparse,block,3,1,11,1.125351231,0.8225265483,0.39854,0.1567225395,0.4456075196,0.8225265483,1.408872185,3.030660391
sparse,block,3,1,12,1.124057404,0.8183231225,0.3952314286,0.1503714406,0.4414223633,0.8183231225,1.409304431,3.040042955
sparse,block,3,1,13,1.122601769,0.809729704,0.3923685714,0.1400371199,0.4315578262,0.809729704,1.406119115,3.062954571
sparse,block,3,1,14,1.130075449,0.8167577916,0.3966085714,0.1455881808,0.4349888984,0.8167577916,1.415510158,3.079632193
sparse,block,3,1,15,1.138609155,0.8238068606,0.3965514286,0.1394597231,0.4351526813,0.8238068606,1.433736396,3.098293433
sparse,block,3,1,16,1.160961834,0.8344913151,0.4019571429,0.1396015959,0.4396928613,0.8344913151,1.452900722,3.17770032
sparse,block,3,1,17,1.173413769,0.8472549622,0.4051714286,0.14607147,0.4502501937,0.8472549622,1.472402345,3.20260253
sparse,block,3,1,18,1.178325778,0.8496042205,0.4086542857,0.1468341372,0.4515115465,0.8496042205,1.479534198,3.213544181
sparse,block,3,1,19,1.222766517,0.8856167691,0.4270571429,0.1618441558,0.4778913347,0.8856167691,1.529672973,3.321849657
sparse,block,3,1,20,1.231080494,0.8944759377,0.4287257143,0.1686231578,0.4872717405,0.8944759377,1.534089888,3.305990766
sparse,block,3,2,1,0.5585557339,0.3799682774,0.1450542857,0.03979729848,0.1737367643,0.3799682774,0.7174760195,1.637519525
sparse,block,3,2,2,0.6033391992,0.4207025505,0.1657828571,0.04715387723,0.1989495374,0.4207025505,0.7734209724,1.72723482
sparse,block,3,2,3,0.7363411755,0.5256031061,0.2309914286,0.06760864618,0.2590416387,0.5256031061,0.940807639,2.04686778
sparse,block,3,2,4,0.781465415,0.5617884583,0.2518857143,0.0715618931,0.2806432324,0.5617884583,0.9960424741,2.156174436
sparse,block,3,2,5,0.8215897584,0.5951407734,0.2727257143,0.08362689259,0.3011951259,0.5951407734,1.047036538,2.249707911
sparse,block,3,2,6,0.8870496359,0.6462826478,0.3025485714,0.09635703595,0.3343481678,0.6462826478,1.125781792,2.406119387
sparse,block,3,2,7,0.9500613917,0.6976942573,0.3297057143,0.1129503366,0.3688579984,0.6976942573,1.20337245,2.553479571
sparse,block,3,2,8,0.994337727,0.7282949684,0.3491942857,0.1202153114,0.3866061497,0.7282949684,1.256029264,2.690720943
sparse,block,3,2,9,1.023438174,0.7465405236,0.36038,0.1246483242,0.3944507963,0.7465405236,1.290696128,2.768735912
sparse,block,3,2,10,1.05361098,0.7711603693,0.3715457143,0.1303781955,0.410657907,0.7711603693,1.327204472,2.841119235
sparse,block,3,2,11,1.064430618,0.7747741164,0.3732285714,0.1277802205,0.4067406953,0.7747741164,1.343839235,2.891523717
sparse,block,3,2,12,1.06893639,0.7703468057,0.37228,0.1211860716,0.4035578067,0.7703468057,1.346428312,2.920956514
sparse,block,3,2,13,1.080209769,0.7792849133,0.3740714286,0.1187726407,0.4031725526,0.7792849133,1.365952132,2.965033677
sparse,block,3,2,14,1.078077328,0.7728712709,0.3730057143,0.1173093951,0.396326485,0.7728712709,1.361690019,2.981013115
sparse,block,3,2,15,1.091858178,0.7827457467,0.3759428571,0.1208165428,0.4027445064,0.7827457467,1.376080963,3.007916625
sparse,block,3,2,16,1.085981248,0.7766916548,0.3755257143,0.1177989547,0.3963708583,0.7766916548,1.374632765,2.995034777
sparse,block,3,2,17,1.106543718,0.787573128,0.3815057143,0.1191382931,0.4031260358,0.787573128,1.394713803,3.066370194
sparse,block,3,2,18,1.097648996,0.7821317645,0.3782514286,0.1221882162,0.4018175703,0.7821317645,1.382053989,3.030751369
sparse,block,3,2,19,1.116474298,0.7974147313,0.3849771429,0.1255629232,0.4122989987,0.7974147313,1.40698294,3.08283859
sparse,block,3,2,20,1.111444649,0.792040287,0.3830971429,0.1274663323,0.4076550004,0.792040287,1.402102935,3.07205872
sparse,block,3,3,1,0.570534708,0.3901349016,0.1499628571,0.04222102385,0.1789266107,0.3901349016,0.7335556376,1.65544291
sparse,block,3,3,2,0.5306317012,0.3616084754,0.1319657143,0.03932939527,0.1668448453,0.3616084754,0.6786111488,1.543580563
sparse,block,3,3,3,0.6489299001,0.4548199021,0.1879485714,0.05122141174,0.2169731147,0.4548199021,0.8311949284,1.839654077
sparse,block,3,3,4,0.7137266417,0.5091279551,0.2194828571,0.06681122685,0.2528488292,0.5091279551,0.9084682427,1.995005599
sparse,block,3,3,5,0.76025523,0.5472041758,0.2423742857,0.07693861203,0.2767609702,0.5472041758,0.9683389324,2.10675831
sparse,block,3,3,6,0.8089100305,0.5862368118,0.26608,0.08158567705,0.2994142856,0.5862368118,1.027535349,2.210749584
sparse,block,3,3,7,0.8545750901,0.6215399337,0.28718,0.09592661921,0.3233664969,0.6215399337,1.078336544,2.326151536
sparse,block,3,3,8,0.9066362611,0.6631657003,0.3119057143,0.1058627344,0.3497970968,0.6631657003,1.143474386,2.443199716
sparse,block,3,3,9,0.9459946499,0.6928802054,0.3290857143,0.113529884,0.3654171072,0.6928802054,1.190970766,2.540421701
sparse,block,3,3,10,0.9830940451,0.7204129865,0.3455914286,0.1220869727,0.3846658389,0.7204129865,1.238778525,2.640552993
sparse,block,3,3,11,1.005112931,0.7385896647,0.3555171429,0.1283008997,0.3963635594,0.7385896647,1.26387669,2.696937242
sparse,block,3,3,12,1.026847833,0.7551270103,0.3647228571,0.1375664682,0.4103345421,0.7551270103,1.287758777,2.73735478
sparse,block,3,3,13,1.038264899,0.7602070565,0.3679685714,0.1406242943,0.4110019738,0.7602070565,1.299525114,2.79115975
