dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
intermediate,block,3,2,14,1.061597997,0.7560417679,0.36708,0.1078042545,0.3798897554,0.7560417679,1.342069445,2.972480186
intermediate,block,3,2,15,1.062599547,0.7514173629,0.3686628571,0.1106832276,0.3827638062,0.7514173629,1.343476106,2.966148454
intermediate,block,3,2,16,1.092511621,0.7724863255,0.3780628571,0.1123602246,0.3913135035,0.7724863255,1.382072745,3.054416758
intermediate,block,3,2,17,1.12048802,0.7881640447,0.38436,0.1157589011,0.4001327402,0.7881640447,1.412333425,3.145600349
intermediate,block,3,2,18,1.162751843,0.8215025071,0.39784,0.1242140964,0.4182748035,0.8215025071,1.460987002,3.222233382
intermediate,block,3,2,19,1.143596458,0.8074119427,0.3917428571,0.112893379,0.4058416028,0.8074119427,1.448081983,3.192942816
intermediate,block,3,2,20,1.14820388,0.8015417668,0.3909771429,0.1069174574,0.3949745517,0.8015417668,1.456930134,3.261116211
intermediate,block,3,3,1,0.5682193313,0.3900064562,0.1471714286,0.04362312225,0.1818435159,0.3900064562,0.726814506,1.648902803
intermediate,block,3,3,2,0.5602013561,0.3862647017,0.1469542857,0.04075524048,0.1780704368,0.3862647017,0.7171028711,1.621303332
intermediate,block,3,3,3,0.6527980978,0.461238544,0.1901257143,0.05652240766,0.2237985176,0.461238544,0.8358351734,1.836443061
intermediate,block,3,3,4,0.6806173666,0.4827048379,0.2028914286,0.06015091447,0.2352015649,0.4827048379,0.8677225781,1.894675361
intermediate,block,3,3,5,0.7335456901,0.5249484912,0.2290857143,0.07369636701,0.2633299259,0.5249484912,0.9323582217,2.041937713
intermediate,block,3,3,6,0.7908476393,0.575659149,0.2587885714,0.08314151932,0.293530215,0.575659149,1.008622758,2.161276194
intermediate,block,3,3,7,0.8784323927,0.641763763,0.3007942857,0.0968433212,0.3319226238,0.641763763,1.116698912,2.381405672
intermediate,block,3,3,8,0.9729555515,0.7102008178,0.3403714286,0.1181676853,0.3762958621,0.7102008178,1.222421447,2.62664567
intermediate,block,3,3,9,1.039406868,0.7588077978,0.3681485714,0.1271715826,0.4046135106,0.7588077978,1.30297049,2.794709402
intermediate,block,3,3,10,1.045024908,0.7545640865,0.3666971429,0.124558326,0.3973953295,0.7545640865,1.3147786,2.83417255
intermediate,block,3,3,11,1.061295732,0.7650106409,0.3724285714,0.1191094555,0.3983827012,0.7650106409,1.338494824,2.915632824
intermediate,block,3,3,12,1.094373587,0.7879523713,0.38452,0.1236814974,0.4095661769,0.7879523713,1.375027104,3.008362123
intermediate,block,3,3,13,1.115760401,0.798916171,0.3921485714,0.1349494418,0.4226552593,0.798916171,1.398297612,3.049943185
intermediate,block,3,3,14,1.110990094,0.7982620233,0.3906685714,0.1354570486,0.4194321872,0.7982620233,1.398565134,3.031084183
intermediate,block,3,3,15,1.122726178,0.8037304521,0.3930342857,0.1460226276,0.4250524082,0.8037304521,1.400080869,3.084979726
intermediate,block,3,3,16,1.132955044,0.8177044702,0.4008571429,0.1383252934,0.4307205509,0.8177044702,1.426013642,3.104191824
intermediate,block,3,3,17,1.180073207,0.8475728169,0.41392,0.1330518881,0.4465936099,0.8475728169,1.486265308,3.241635456
intermediate,block,3,3,18,1.166318351,0.8387266087,0.4083828571,0.1417930305,0.4370680608,0.8387266087,1.470111436,3.198595358
intermediate,block,3,3,19,1.179817225,0.8458211642,0.4106457143,0.1317983676,0.4376185551,0.8458211642,1.483996955,3.283118589
intermediate,block,3,3,20,1.174069458,0.833574966,0.40532,0.1275986112,0.4255393403,0.833574966,1.483553913,3.252055811
intermediate,pooled,1,1,1,0.6079156292,0.5566186056,0.1518285714,0.2364112119,0.4012377483,0.5566186056,0.7554415942,1.149835064
intermediate,pooled,1,1,2,0.6157673592,0.571562276,0.1609942857,0.2604146714,0.4221126845,0.571562276,0.7585785782,1.118785266
intermediate,pooled,1,1,3,0.6334451529,0.5925528958,0.1765314286,0.2880127738,0.4473131743,0.5925528958,0.7729124079,1.118045529
intermediate,pooled,1,1,4,0.6600978761,0.6200068823,0.2001371429,0.3177350978,0.4754257263,0.6200068823,0.7982706339,1.133751382
intermediate,pooled,1,1,5,0.6815293254,0.6415884672,0.2204057143,0.3384111388,0.4961738705,0.6415884672,0.8195265244,1.157825138
intermediate,pooled,1,1,6,0.6954285161,0.6547669824,0.23196,0.3488008438,0.5077345812,0.6547669824,0.8359556222,1.175424047
intermediate,pooled,1,1,7,0.6989948344,0.6578155896,0.2344114286,0.3471404951,0.5096061205,0.6578155896,0.8406021716,1.188795251
intermediate,pooled,1,1,8,0.6957206997,0.6532382344,0.2289828571,0.3374328132,0.5023718361,0.6532382344,0.8392427386,1.19507281
intermediate,pooled,1,1,9,0.6889837914,0.646463776,0.2240971429,0.3246351456,0.4922857262,0.646463776,0.8343473345,1.197719481
intermediate,pooled,1,1,10,0.6837851006,0.6398954687,0.2199371429,0.3129382628,0.4829305206,0.6398954687,0.8331343435,1.199628177
intermediate,pooled,1,1,11,0.6800342154,0.6345331108,0.21792,0.3012055738,0.4749916973,0.6345331108,0.8317694588,1.210835988
intermediate,pooled,1,1,12,0.6773651851,0.6310546881,0.2176571429,0.2944567424,0.468760924,0.6310546881,0.8308197001,1.216366902
intermediate,pooled,1,1,13,0.6755056173,0.6287423209,0.2176914286,0.2884483012,0.4642496612,0.6287423209,0.8303978195,1.221065944
intermediate,pooled,1,1,14,0.6801496185,0.6332689261,0.2227771429,0.2862903881,0.4651145334,0.6332689261,0.8383999041,1.234107314
intermediate,pooled,1,1,15,0.6889351246,0.6399957928,0.2297771429,0.2889222843,0.4695345739,0.6399957928,0.8508341827,1.251903526
intermediate,pooled,1,1,16,0.6992546377,0.6492002223,0.24012,0.2908802256,0.4732789336,0.6492002223,0.8647593369,1.280483312
intermediate,pooled,1,1,17,0.7070528498,0.6526985007,0.2490457143,0.2876051998,0.4733458537,0.6526985007,0.8762201299,1.311415752
intermediate,pooled,1,1,18,0.7163768819,0.657867125,0.2580971429,0.2796493932,0.4709313872,0.657867125,0.8909892727,1.353770856
