equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
stoxx,ip,0,36,0.439602,2.51732,2.76146,2.81498,2.24955,2.16259,0.79913,0.76824
stoxx,hicp,0,36,0.439602,0.30879,0.09596,4.71782,4.73669,4.86563,1.00400,1.03133
stoxx,stoxx,0,36,0.439602,1.65392,1.67109,0.574271,0.534257,0.530298,0.93032,0.92343
mps,mps,1,37,0.429411,1.00000,1.00000,0.159773,0.165763,0.167933,1.03749,1.05107
mps,i1y,0,37,0.429411,0.31369,0.04062,0.327052,0.328012,0.328234,1.00294,1.00361
mps,ip,0,37,0.429411,0.39260,0.05188,0.0114729,0.0117773,0.0118849,1.02653,1.03591
mps,hicp,0,37,0.429411,0.24406,0.03513,0.0489862,0.0532674,0.0540412,1.08739,1.10319
mps,stoxx,0,37,0.429411,0.42987,0.06585,0.00369509,0.00378255,0.00382606,1.02367,1.03544
i1y,mps,1,37,0.429411,1.00000,1.00000,3.4442,2.0303,1.95752,0.58948,0.56835
i1y,i1y,0,37,0.429411,1.90991,1.92445,2.3919,2.36486,2.36621,0.98870,0.98926
i1y,ip,0,37,0.429411,2.50860,2.64094,0.167041,0.136452,0.132976,0.81688,0.79607
i1y,hicp,0,37,0.429411,0.60649,0.56424,0.287662,0.300567,0.302769,1.04486,1.05252
i1y,stoxx,0,37,0.429411,1.28360,1.33973,0.039262,0.0375204,0.0372058,0.95564,0.94763
ip,mps,1,37,0.429411,1.00000,1.00000,13.4902,14.1036,13.7425,1.04547,1.01870
ip,i1y,0,37,0.429411,1.87169,2.07485,13.8603,13.5814,13.5201,0.97987,0.97546
ip,ip,0,37,0.429411,1.56234,1.73897,0.788445,0.75121,0.732054,0.95277,0.92848
ip,hicp,0,37,0.429411,0.46766,0.33929,1.17519,1.35965,1.3953,1.15695,1.18730
ip,stoxx,0,37,0.429411,0.65302,0.56759,0.161127,0.163098,0.164098,1.01224,1.01844
hicp,mps,1,37,0.429411,1.00000,1.00000,3.99722,2.25025,1.96693,0.56295,0.49208
hicp,i1y,0,37,0.429411,3.04115,3.54283,1.15412,1.06324,1.048,0.92125,0.90804
hicp,ip,0,37,0.429411,5.25040,5.73205,0.292914,0.151885,0.140793,0.51853,0.48066
hicp,hicp,0,37,0.429411,3.14091,3.27396,0.515843,0.263112,0.245596,0.51006,0.47611
hicp,stoxx,0,37,0.429411,1.19724,1.26847,0.0230885,0.0225017,0.022411,0.97458,0.97066
stoxx,mps,1,37,0.429411,1.00000,1.00000,79.3459,52.2675,49.6085,0.65873,0.62522
stoxx,i1y,0,37,0.429411,1.64871,2.01230,41.1696,40.3683,39.9742,0.98054,0.97097
stoxx,ip,0,37,0.429411,2.54908,2.73897,3.76539,3.17304,3.08634,0.84269,0.81966
stoxx,hicp,0,37,0.429411,0.32423,0.08730,5.82551,5.8596,5.99273,1.00585,1.02870
stoxx,stoxx,0,37,0.429411,1.67306,1.65158,0.691589,0.658509,0.658317,0.95217,0.95189
mps,mps,1,38,0.421835,1.00000,1.00000,0.154089,0.161693,0.163886,1.04935,1.06358
mps,i1y,0,38,0.421835,0.35125,0.04177,0.256925,0.257966,0.258403,1.00405,1.00575
mps,ip,0,38,0.421835,0.39922,0.05015,0.0116686,0.0119025,0.0119837,1.02005,1.02701
mps,hicp,0,38,0.421835,0.32807,0.03325,0.0487868,0.0526924,0.0536669,1.08006,1.10003
mps,stoxx,0,38,0.421835,0.38937,0.06500,0.00367318,0.00376867,0.00380004,1.02600,1.03454
i1y,mps,1,38,0.421835,1.00000,1.00000,2.82431,1.88558,1.84785,0.66763,0.65427
i1y,i1y,0,38,0.421835,1.90646,1.96663,2.3444,2.31385,2.31424,0.98697,0.98714
i1y,ip,0,38,0.421835,2.38562,2.53611,0.139761,0.118049,0.115264,0.84465,0.82472
i1y,hicp,0,38,0.421835,0.67277,0.57014,0.201982,0.211436,0.216823,1.04681,1.07348
i1y,stoxx,0,38,0.421835,1.28195,1.35168,0.0408081,0.0392675,0.0389206,0.96225,0.95375
ip,mps,1,38,0.421835,1.00000,1.00000,14.165,13.5388,13.4786,0.95580,0.95154
ip,i1y,0,38,0.421835,1.85213,1.83081,7.98,7.59528,7.61236,0.95179,0.95393
ip,ip,0,38,0.421835,1.65555,1.73162,0.875137,0.834322,0.823705,0.95336,0.94123
ip,hicp,0,38,0.421835,0.44222,0.37358,1.87107,2.09077,2.1169,1.11742,1.13138
ip,stoxx,0,38,0.421835,0.71268,0.64461,0.143124,0.145295,0.146106,1.01517,1.02083
hicp,mps,1,38,0.421835,1.00000,1.00000,3.4525,2.06807,1.7995,0.59901,0.52122
