dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
dense,pooled,1,1,4,0.3729720889,0.3355793731,0.04909714286,0.1271965365,0.2285460232,0.3355793731,0.4734655833,0.7475951615
dense,pooled,1,1,5,0.395445211,0.3573925381,0.06430285714,0.1422670861,0.2471403455,0.3573925381,0.4999437879,0.7791372579
dense,pooled,1,1,6,0.4238270649,0.3844243265,0.08448,0.1600075992,0.2697376248,0.3844243265,0.5325144671,0.8222309449
dense,pooled,1,1,7,0.4558431381,0.4155060444,0.1080171429,0.1791057843,0.2951831245,0.4155060444,0.5697598533,0.8715759286
dense,pooled,1,1,8,0.4908580824,0.4468203423,0.1348285714,0.1992617136,0.3215854128,0.4468203423,0.609467727,0.9295437509
dense,pooled,1,1,9,0.5271381925,0.4813687588,0.1621428571,0.2181933976,0.3491550991,0.4813687588,0.6526714918,0.9891702119
dense,pooled,1,1,10,0.5625902682,0.5142727348,0.1872628571,0.2358406104,0.3750639735,0.5142727348,0.6943844691,1.050405597
dense,pooled,1,1,11,0.5958074644,0.543817443,0.20856,0.2533573201,0.3981821422,0.543817443,0.7351324348,1.110643914
dense,pooled,1,1,12,0.6263965912,0.5715972003,0.2269771429,0.2686153905,0.4206762372,0.5715972003,0.7715411176,1.165380419
dense,pooled,1,1,13,0.6527659306,0.5960916292,0.2431314286,0.282955169,0.4394867698,0.5960916292,0.8012540448,1.213188588
dense,pooled,1,1,14,0.6763720444,0.6178550773,0.25752,0.2935029446,0.4564684712,0.6178550773,0.8305472607,1.252686348
dense,pooled,1,1,15,0.6979653542,0.6360309979,0.2721828571,0.3045365603,0.4688402946,0.6360309979,0.8578026722,1.295983676
dense,pooled,1,1,16,0.7178067842,0.6532148945,0.2837771429,0.3103223571,0.4796946808,0.6532148945,0.8822463109,1.342482005
dense,pooled,1,1,17,0.738084852,0.6702625708,0.2943828571,0.3145771332,0.489550536,0.6702625708,0.9106056926,1.393684068
dense,pooled,1,1,18,0.7565614057,0.6820013409,0.3036514286,0.3107324318,0.4942981292,0.6820013409,0.933945532,1.455738096
dense,pooled,1,1,19,0.7756656273,0.6879722582,0.31012,0.3018239097,0.4909447503,0.6879722582,0.9618553804,1.536531994
dense,pooled,1,1,20,0.7964463784,0.6906605972,0.3119028571,0.2810741503,0.4797762662,0.6906605972,0.9915206354,1.659578318
dense,pooled,1,2,1,0.3419115028,0.2921911314,0.04204571429,0.09176181414,0.1849267134,0.2921911314,0.4425796216,0.7567846822
dense,pooled,1,2,2,0.3321420025,0.288133121,0.04010285714,0.09512050734,0.1857427555,0.288133121,0.4296961852,0.7172391865
dense,pooled,1,2,3,0.3346631067,0.2934516347,0.04442285714,0.1017665563,0.1921162467,0.2934516347,0.4316080175,0.7071167833
dense,pooled,1,2,4,0.3454390383,0.305064385,0.05388,0.1107817287,0.2028075098,0.305064385,0.4433818014,0.7187519924
dense,pooled,1,2,5,0.3616740573,0.3206818209,0.06630857143,0.1214203509,0.216906537,0.3206818209,0.4618894988,0.7393671157
dense,pooled,1,2,6,0.3797067154,0.33829745,0.07982857143,0.1325328197,0.2315597177,0.33829745,0.4838705182,0.7634852589
dense,pooled,1,2,7,0.3998397459,0.3575420452,0.09488,0.1433718109,0.2467963275,0.3575420452,0.5069174918,0.7962442331
dense,pooled,1,2,8,0.4218804068,0.3765248201,0.1106628571,0.1546554068,0.2617193147,0.3765248201,0.5331607604,0.8386691472
dense,pooled,1,2,9,0.4463091179,0.3995493504,0.1282628571,0.1659756117,0.2785823465,0.3995493504,0.5633846467,0.882058046
dense,pooled,1,2,10,0.4722994523,0.4231339064,0.1476571429,0.178187906,0.2973552645,0.4231339064,0.5942791546,0.926901617
dense,pooled,1,2,11,0.497398234,0.4462934065,0.1652342857,0.1910865105,0.3147537138,0.4462934065,0.6232463183,0.9757934584
dense,pooled,1,2,12,0.5221268148,0.4691452134,0.1817714286,0.2002815279,0.3313745131,0.4691452134,0.6535577297,1.021537789
