instrument,estimator,variable,h,theta_25bp,lo_25bp,hi_25bp
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,2,0.313129,0.218973,0.407286
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,3,0.343791,0.216671,0.470912
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,4,0.358244,0.219742,0.496745
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,5,0.365633,0.232541,0.498726
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,6,0.366743,0.238661,0.494824
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,7,0.364552,0.220265,0.508839
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,8,0.363138,0.200556,0.525721
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,9,0.358072,0.192935,0.523210
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,10,0.350861,0.183512,0.518210
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,11,0.340182,0.159040,0.521324
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,12,0.327407,0.134489,0.520325
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,13,0.312301,0.110806,0.513795
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,14,0.293898,0.083312,0.504484
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,15,0.274887,0.048759,0.501014
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,16,0.255140,0.021788,0.488492
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,17,0.232818,-0.004832,0.470469
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,18,0.209647,-0.039058,0.458353
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,19,0.185042,-0.071803,0.441887
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,20,0.157808,-0.083396,0.399011
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,21,0.130134,-0.106083,0.366350
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,22,0.099468,-0.116256,0.315193
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,23,0.064243,-0.114133,0.242619
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,24,0.029497,-0.148443,0.207437
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,25,0.001047,-0.165993,0.168086
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,26,-0.026464,-0.205565,0.152638
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,27,-0.056589,-0.289916,0.176738
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,28,-0.075995,-0.369743,0.217753
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,29,-0.087591,-0.413583,0.238402
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,30,-0.098919,-0.425015,0.227178
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,31,-0.106996,-0.415159,0.201168
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,32,-0.118097,-0.435360,0.199166
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,33,-0.122274,-0.446439,0.201891
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,34,-0.124870,-0.423800,0.174061
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,35,-0.131660,-0.452952,0.189631
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,36,-0.130914,-0.483740,0.221911
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,37,-0.125548,-0.463972,0.212876
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,38,-0.121085,-0.441358,0.199188
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,39,-0.114063,-0.396139,0.168013
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,40,-0.108317,-0.333657,0.117022
z_gcs_1m_adj_sum,BLP-FMAR,ois1m,41,-0.099493,-0.283893,0.084908
